Approved symbol	Approved name	Locus type
ADAM23	ADAM metallopeptidase domain 23	gene with protein product
ADAM24P	ADAM metallopeptidase domain 24, pseudogene	pseudogene
ADAM28	ADAM metallopeptidase domain 28	gene with protein product
ADAM29	ADAM metallopeptidase domain 29	gene with protein product
ADAM30	ADAM metallopeptidase domain 30	gene with protein product
ADAM32	ADAM metallopeptidase domain 32	gene with protein product
ADAM33	ADAM metallopeptidase domain 33	gene with protein product
ADAMDEC1	ADAM like decysin 1	gene with protein product
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	gene with protein product
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	gene with protein product
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	gene with protein product
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	gene with protein product
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	gene with protein product
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	gene with protein product
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	gene with protein product
ADAMTS7P1	ADAMTS7 pseudogene 1	pseudogene
ADAMTS7P2	symbol withdrawn, see [HGNC:49407](/data/gene-symbol-report/#!/hgnc_id/HGNC:49407)	pseudogene
ADAMTS7P3	ADAMTS7 pseudogene 3	pseudogene
ADAMTS7P4	ADAMTS7 pseudogene 4	pseudogene
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	gene with protein product
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	gene with protein product
ADAMTS9-AS1	ADAMTS9 antisense RNA 1	RNA, long non-coding
ADAMTS9-AS2	ADAMTS9 antisense RNA 2	RNA, long non-coding
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	gene with protein product
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	gene with protein product
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	gene with protein product
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	gene with protein product
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	gene with protein product
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	gene with protein product
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	gene with protein product
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	gene with protein product
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	gene with protein product
ADAMTS19-AS1	ADAMTS19 antisense RNA 1	RNA, long non-coding
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	gene with protein product
ADAMTS21	symbol withdrawn, see [HGNC:17110](/data/gene-symbol-report/#!/hgnc_id/HGNC:17110)	unknown
ADAMTSL1	ADAMTS like 1	gene with protein product
ADAMTSL2	ADAMTS like 2	gene with protein product
ADAMTSL3	ADAMTS like 3	gene with protein product
ADAMTSL4	ADAMTS like 4	gene with protein product
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	RNA, long non-coding
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	RNA, long non-coding
ADAMTSL5	ADAMTS like 5	gene with protein product
ADAP1	ArfGAP with dual PH domains 1	gene with protein product
ADAP2	ArfGAP with dual PH domains 2	gene with protein product
ADAR	adenosine deaminase RNA specific	gene with protein product
ADARB1	adenosine deaminase RNA specific B1	gene with protein product
ADARB2	adenosine deaminase RNA specific B2 (inactive)	gene with protein product
ADARB2-AS1	ADARB2 antisense RNA 1	RNA, long non-coding
ADAT1	adenosine deaminase tRNA specific 1	gene with protein product
ADAT2	adenosine deaminase tRNA specific 2	gene with protein product
ADAT3	adenosine deaminase tRNA specific 3	gene with protein product
ADCK1	aarF domain containing kinase 1	gene with protein product
ADCK2	aarF domain containing kinase 2	gene with protein product
ADCK5	aarF domain containing kinase 5	gene with protein product
ADCP1	adenosine deaminase complexing protein 1	unknown
ADCP2	symbol withdrawn, see [HGNC:3009](/data/gene-symbol-report/#!/hgnc_id/HGNC:3009)	unknown
ADCR	symbol withdrawn, see [HGNC:12797](/data/gene-symbol-report/#!/hgnc_id/HGNC:12797)	unknown
ADCY1	adenylate cyclase 1	gene with protein product
ADCY2	adenylate cyclase 2	gene with protein product
ADCY3	adenylate cyclase 3	gene with protein product
ADCY4	adenylate cyclase 4	gene with protein product
ADCY5	adenylate cyclase 5	gene with protein product
ADCY6	adenylate cyclase 6	gene with protein product
ADCY6-DT	ADCY6 divergent transcript	RNA, long non-coding
ADCY7	adenylate cyclase 7	gene with protein product
ADCY8	adenylate cyclase 8	gene with protein product
ADCY9	adenylate cyclase 9	gene with protein product
ADCY10	adenylate cyclase 10	gene with protein product
ADCY10P1	ADCY10 pseudogene 1	pseudogene
ADCYAP1	adenylate cyclase activating polypeptide 1	gene with protein product
ADCYAP1R1	ADCYAP receptor type I	gene with protein product
ADD1	adducin 1	gene with protein product
ADD2	adducin 2	gene with protein product
ADD3	adducin 3	gene with protein product
ADD3-AS1	ADD3 antisense RNA 1	RNA, long non-coding
ADDL	symbol withdrawn, see [HGNC:245](/data/gene-symbol-report/#!/hgnc_id/HGNC:245)	unknown
ADFN	albinism-deafness syndrome	phenotype only
ADGB	androglobin	gene with protein product
ADGRA1	adhesion G protein-coupled receptor A1	gene with protein product
ADGRA1-AS1	ADGRA1 antisense RNA 1	RNA, long non-coding
ADGRA2	adhesion G protein-coupled receptor A2	gene with protein product
ADGRA3	adhesion G protein-coupled receptor A3	gene with protein product
ADGRB1	adhesion G protein-coupled receptor B1	gene with protein product
ADGRB2	adhesion G protein-coupled receptor B2	gene with protein product
ADGRB3	adhesion G protein-coupled receptor B3	gene with protein product
ADGRD1	adhesion G protein-coupled receptor D1	gene with protein product
ADGRD1-AS1	ADGRD1 antisense RNA 1	RNA, long non-coding
ADGRD2	adhesion G protein-coupled receptor D2	gene with protein product
ADGRE1	adhesion G protein-coupled receptor E1	gene with protein product
ADGRE2	adhesion G protein-coupled receptor E2	gene with protein product
ADGRE3	adhesion G protein-coupled receptor E3	gene with protein product
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	pseudogene
ADGRE5	adhesion G protein-coupled receptor E5	gene with protein product
ADGRF1	adhesion G protein-coupled receptor F1	gene with protein product
ADGRF2	adhesion G protein-coupled receptor F2	gene with protein product
ADGRF3	adhesion G protein-coupled receptor F3	gene with protein product
ADGRF4	adhesion G protein-coupled receptor F4	gene with protein product
ADGRF5	adhesion G protein-coupled receptor F5	gene with protein product
ADGRF5-AS1	ADGRF5 antisense RNA 1	RNA, long non-coding
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1	pseudogene
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2	pseudogene
ADGRG1	adhesion G protein-coupled receptor G1	gene with protein product
ADGRG2	adhesion G protein-coupled receptor G2	gene with protein product
ADGRG3	adhesion G protein-coupled receptor G3	gene with protein product
ADGRG4	adhesion G protein-coupled receptor G4	gene with protein product
ADGRG5	adhesion G protein-coupled receptor G5	gene with protein product
ADGRG6	adhesion G protein-coupled receptor G6	gene with protein product
ADGRG7	adhesion G protein-coupled receptor G7	gene with protein product
ADGRL1	adhesion G protein-coupled receptor L1	gene with protein product
ADGRL2	adhesion G protein-coupled receptor L2	gene with protein product
ADGRL3	adhesion G protein-coupled receptor L3	gene with protein product
ADGRL3-AS1	ADGRL3 antisense RNA 1	RNA, long non-coding
ADGRL4	adhesion G protein-coupled receptor L4	gene with protein product
ADGRV1	adhesion G protein-coupled receptor V1	gene with protein product
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	gene with protein product
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	gene with protein product
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	gene with protein product
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	gene with protein product
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	gene with protein product
ADH5P1	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 1	pseudogene
ADH5P2	ADH5 pseudogene 2	pseudogene
ADH5P3	ADH5 pseudogene 3	pseudogene
ADH5P4	ADH5 pseudogene 4	pseudogene
ADH5P5	ADH5 pseudogene 5	pseudogene
ADH6	alcohol dehydrogenase 6 (class V)	gene with protein product
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	gene with protein product
ADHFE1	alcohol dehydrogenase iron containing 1	gene with protein product
ADI1	acireductone dioxygenase 1	gene with protein product
ADI1P1	acireductone dioxygenase 1 pseudogene 1	pseudogene
ADI1P2	acireductone dioxygenase 1 pseudogene 2	pseudogene
ADI1P3	acireductone dioxygenase 1 pseudogene 3	pseudogene
ADIG	adipogenin	gene with protein product
ADIPOQ	adiponectin, C1Q and collagen domain containing	gene with protein product
ADIPOQ-AS1	ADIPOQ antisense RNA 1	RNA, long non-coding
ADIPOR1	adiponectin receptor 1	gene with protein product
ADIPOR1P1	adiponectin receptor 1 pseudogene 1	pseudogene
ADIPOR1P2	adiponectin receptor 1 pseudogene 2	pseudogene
ADIPOR2	adiponectin receptor 2	gene with protein product
ADIR	symbol withdrawn, see [HGNC:11997](/data/gene-symbol-report/#!/hgnc_id/HGNC:11997)	unknown
ADIRF	adipogenesis regulatory factor	gene with protein product
ADIRF-AS1	ADIRF antisense RNA 1	RNA, long non-coding
ADK	adenosine kinase	gene with protein product
ADL	symbol withdrawn, see [HGNC:10805](/data/gene-symbol-report/#!/hgnc_id/HGNC:10805)	unknown
ADM	adrenomedullin	gene with protein product
ADM2	adrenomedullin 2	gene with protein product
ADM5	adrenomedullin 5 (putative)	gene with protein product
ADMLX	symbol withdrawn, see [HGNC:6211](/data/gene-symbol-report/#!/hgnc_id/HGNC:6211)	unknown
ADMLY	symbol withdrawn, see [HGNC:6214](/data/gene-symbol-report/#!/hgnc_id/HGNC:6214)	unknown
ADNP	activity dependent neuroprotector homeobox	gene with protein product
ADNP-AS1	ADNP antisense RNA 1	RNA, long non-coding
ADNP2	ADNP homeobox 2	gene with protein product
ADO	2-aminoethanethiol dioxygenase	gene with protein product
ADORA1	adenosine A1 receptor	gene with protein product
ADORA2A	adenosine A2a receptor	gene with protein product
ADORA2A-AS1	ADORA2A antisense RNA 1	RNA, long non-coding
ADORA2B	adenosine A2b receptor	gene with protein product
ADORA2BP1	adenosine A2b receptor pseudogene 1	pseudogene
ADORA2L1	adenosine A2 receptor-like 1	unknown
ADORA2L2	adenosine A2 receptor-like 2	unknown
ADORA3	adenosine A3 receptor	gene with protein product
ADPGK	ADP dependent glucokinase	gene with protein product
ADPGK-AS1	ADPGK antisense RNA 1	RNA, long non-coding
ADPRH	ADP-ribosylarginine hydrolase	gene with protein product
ADPRHL1	ADP-ribosylhydrolase like 1	gene with protein product
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	gene with protein product
ADPRS	ADP-ribosylserine hydrolase	gene with protein product
ADRA1A	adrenoceptor alpha 1A	gene with protein product
ADRA1B	adrenoceptor alpha 1B	gene with protein product
ADRA1C	symbol withdrawn, see [HGNC:277](/data/gene-symbol-report/#!/hgnc_id/HGNC:277)	unknown
ADRA1D	adrenoceptor alpha 1D	gene with protein product
ADRA2A	adrenoceptor alpha 2A	gene with protein product
ADRA2B	adrenoceptor alpha 2B	gene with protein product
ADRA2C	adrenoceptor alpha 2C	gene with protein product
ADRA2L1	symbol withdrawn, see [HGNC:282](/data/gene-symbol-report/#!/hgnc_id/HGNC:282)	unknown
ADRB1	adrenoceptor beta 1	gene with protein product
ADRB2	adrenoceptor beta 2	gene with protein product
ADRB2RL1	symbol withdrawn, see [HGNC:5286](/data/gene-symbol-report/#!/hgnc_id/HGNC:5286)	unknown
ADRB3	adrenoceptor beta 3	gene with protein product
ADRM1	adhesion regulating molecule 1	gene with protein product
ADSL	adenylosuccinate lyase	gene with protein product
ADSS1	adenylosuccinate synthase 1	gene with protein product
ADSS2	adenylosuccinate synthase 2	gene with protein product
ADT	ADT unknown	unknown
ADTAA	symbol withdrawn, see [HGNC:561](/data/gene-symbol-report/#!/hgnc_id/HGNC:561)	unknown
ADTAB	symbol withdrawn, see [HGNC:562](/data/gene-symbol-report/#!/hgnc_id/HGNC:562)	unknown
ADTB1	symbol withdrawn, see [HGNC:554](/data/gene-symbol-report/#!/hgnc_id/HGNC:554)	unknown
ADTB2	symbol withdrawn, see [HGNC:563](/data/gene-symbol-report/#!/hgnc_id/HGNC:563)	unknown
ADTG	symbol withdrawn, see [HGNC:555](/data/gene-symbol-report/#!/hgnc_id/HGNC:555)	unknown
ADTRP	androgen dependent TFPI regulating protein	gene with protein product
AE1	symbol withdrawn, see [HGNC:11027](/data/gene-symbol-report/#!/hgnc_id/HGNC:11027)	unknown
AE2	symbol withdrawn, see [HGNC:11028](/data/gene-symbol-report/#!/hgnc_id/HGNC:11028)	unknown
AEBP1	AE binding protein 1	gene with protein product
AEBP2	AE binding protein 2	gene with protein product
AEMK	symbol withdrawn, see [HGNC:6218](/data/gene-symbol-report/#!/hgnc_id/HGNC:6218)	unknown
AEN	apoptosis enhancing nuclease	gene with protein product
AEPLC	symbol withdrawn, see [HGNC:934](/data/gene-symbol-report/#!/hgnc_id/HGNC:934)	unknown
AEZ	symbol withdrawn, see [HGNC:17129](/data/gene-symbol-report/#!/hgnc_id/HGNC:17129)	unknown
AF8T	AF8 temperature sensitivity complementing	phenotype only
AFA	ankyloblepharon filiforme adnatum	phenotype only
AFAP1	actin filament associated protein 1	gene with protein product
AFAP1-AS1	AFAP1 antisense RNA 1	RNA, long non-coding
AFAP1L1	actin filament associated protein 1 like 1	gene with protein product
AFAP1L2	actin filament associated protein 1 like 2	gene with protein product
AFCP	symbol withdrawn, see [HGNC:1474](/data/gene-symbol-report/#!/hgnc_id/HGNC:1474)	unknown
AFD1	acrofacial dysostosis 1, Nager type	phenotype only
AFDN	afadin, adherens junction formation factor	gene with protein product
AFDN-DT	AFDN divergent transcript	RNA, long non-coding
AFF1	AF4/FMR2 family member 1	gene with protein product
AFF1-AS1	AFF1 antisense RNA 1	RNA, long non-coding
AFF2	AF4/FMR2 family member 2	gene with protein product
AFF2-IT1	AFF2 intronic transcript 1	RNA, long non-coding
AFF3	AF4/FMR2 family member 3	gene with protein product
AFF4	AF4/FMR2 family member 4	gene with protein product
AFG1L	AFG1 like ATPase	gene with protein product
AFG3	symbol withdrawn, see [HGNC:314](/data/gene-symbol-report/#!/hgnc_id/HGNC:314)	unknown
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	pseudogene
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	gene with protein product
AFG3L2P1	AFG3 like AAA ATPase 2 pseudogene 1	pseudogene
AFM	afamin	gene with protein product
AFMID	arylformamidase	gene with protein product
AFP	alpha fetoprotein	gene with protein product
AFTPH	aftiphilin	gene with protein product
AGA	aspartylglucosaminidase	gene with protein product
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	gene with protein product
AGAP1-IT1	AGAP1 intronic transcript 1	RNA, long non-coding
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	gene with protein product
AGAP2-AS1	AGAP2 antisense RNA 1	RNA, long non-coding
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	gene with protein product
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	gene with protein product
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	gene with protein product
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	gene with protein product
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	pseudogene
AGAP8	symbol withdrawn, see [HGNC:23459](/data/gene-symbol-report/#!/hgnc_id/HGNC:23459)	gene with protein product
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	gene with protein product
AGAP10	symbol withdrawn, see [HGNC:23659](/data/gene-symbol-report/#!/hgnc_id/HGNC:23659)	gene with protein product
AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene	pseudogene
AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	unknown
AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene	pseudogene
AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene	pseudogene
AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene	pseudogene
AGBL1	ATP/GTP binding protein like 1	gene with protein product
AGBL1-AS1	AGBL1 antisense RNA 1	RNA, long non-coding
AGBL2	ATP/GTP binding protein like 2	gene with protein product
AGBL3	ATP/GTP binding protein like 3	gene with protein product
AGBL4	ATP/GTP binding protein like 4	gene with protein product
AGBL4-AS1	AGBL4 antisense RNA 1	RNA, long non-coding
AGBL4-IT1	AGBL4 intronic transcript 1	RNA, long non-coding
AGBL5	ATP/GTP binding protein like 5	gene with protein product
